Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
23,0.0439776654,0.0173077363,0.027167037,0.0087284516,0.0187675984,0.0338681956
24,0.044001992,0.0172999464,0.0271387065,0.008717888,0.0188019421,0.0338682413
25,0.0440559877,0.0173267963,0.0271489751,0.0086963987,0.0188741495,0.0338687994
26,0.0441245841,0.0173320156,0.0271206916,0.0086808195,0.0189261949,0.0338671287
27,0.0442200751,0.0173284538,0.0270929902,0.0086890722,0.0189663789,0.0338714864
28,0.0443609979,0.017324326,0.0270742266,0.0087234123,0.0189814142,0.0338709315
29,0.044526441,0.0173232642,0.0270593623,0.0087586114,0.0190281644,0.0338784152
30,0.0447479655,0.0173404586,0.0270480696,0.0088074289,0.0190923762,0.0338839187
31,0.0449776527,0.0173554689,0.0270773006,0.0088441256,0.0191717557,0.0338977622
32,0.0452250665,0.0173871414,0.0270935837,0.0088807901,0.019244608,0.0339048686
33,0.0454864563,0.0174181939,0.0271180254,0.008923355,0.0192959633,0.0339098774
34,0.0457489796,0.0174447505,0.0271766158,0.0089601771,0.0193583169,0.0339252254
35,0.0460819194,0.0174584425,0.0271384726,0.0089904171,0.0194408687,0.0339336553
36,0.0463698016,0.0174924342,0.0271786885,0.0090266823,0.0195386575,0.0339443156
37,0.0466306523,0.0175167372,0.0272399458,0.0090602577,0.0196523462,0.0339525591
38,0.0468800497,0.0175317921,0.0272610431,0.0090963438,0.0197354356,0.03395993
39,0.0471881456,0.0175418299,0.0273191607,0.0091188886,0.0198065527,0.0339723359
40,0.0474501785,0.01754548,0.027339877,0.0091476875,0.0198786079,0.0339767961
41,0.04768878,0.0175644649,0.0273458172,0.0091857655,0.019946594,0.0339833243
42,0.0479071896,0.0175775044,0.0273757801,0.0092568893,0.019990887,0.0339854054
43,0.048076638,0.0175995802,0.0274169296,0.0093169854,0.0200413182,0.0339951536
44,0.0482235799,0.0176150845,0.0274485518,0.0093784803,0.0200833197,0.0340090904
45,0.0483463071,0.0176203144,0.0274774279,0.0094365889,0.020118454,0.0340311405
46,0.0484698521,0.0176312643,0.0275227804,0.0095003161,0.0201413218,0.0340507426
47,0.0485870093,0.0176479993,0.0275735626,0.009569647,0.0201553564,0.0340730923
48,0.0486893931,0.0176870419,0.0276347478,0.0096159741,0.0201788073,0.03410522
49,0.0488037863,0.0177150391,0.0277148077,0.0096504889,0.0202094786,0.0341347206
50,0.0489100395,0.0177487641,0.0277551813,0.0096789672,0.020236709,0.0341710197
51,0.0490106021,0.0177949634,0.0278200045,0.0096866375,0.0202574119,0.0342165673
52,0.0491167353,0.0178202554,0.0278816522,0.0097074359,0.0202815267,0.0342623233
53,0.049219606,0.0178468753,0.0279385337,0.0097107212,0.0203187705,0.0343083412
54,0.0493433322,0.0178742647,0.0280002544,0.0096902466,0.0203544184,0.0343665851
55,0.0494600144,0.017893311,0.0280434872,0.0096728505,0.0203822806,0.0344179032
56,0.0495921744,0.0179097915,0.0280704051,0.0096634854,0.0204135874,0.0344813929
57,0.0497089639,0.0179350628,0.0281258612,0.0096679952,0.0204301262,0.0345351439
58,0.0498325706,0.0179547124,0.0281493672,0.0096664472,0.0204417949,0.0345920904
59,0.0499134663,0.017982146,0.0281786807,0.0096544469,0.020466491,0.0346677645
60,0.049994479,0.0180178707,0.0282042719,0.0096368834,0.0205046338,0.0347263691
61,0.0500736777,0.0180416714,0.0282146531,0.0096142183,0.0205320893,0.0347892071
62,0.0501444369,0.0180765699,0.0282576304,0.009591042,0.0205541036,0.0347680255
63,0.0502170075,0.0181157943,0.0282803384,0.0095762496,0.0205595691,0.0347763204
64,0.0502414474,0.0181508472,0.0283020333,0.0095651251,0.0205546818,0.0348230604
65,0.0502254076,0.0182025329,0.0283337498,0.0095459345,0.020542953,0.0348758469
66,0.0501661288,0.0182415236,0.0283758311,0.0095367055,0.0205333373,0.034945193
67,0.0500969968,0.0182871468,0.0284156941,0.0095308442,0.0205190987,0.0350127061
68,0.0499756722,0.0183333688,0.028461738,0.009521875,0.0205080234,0.0350776035
69,0.0498794902,0.0183825308,0.0285027738,0.0095146949,0.0204983385,0.035153672
70,0.0497870262,0.0184366779,0.0285732556,0.0095130351,0.0204790858,0.0352066846
71,0.0496905322,0.0184912086,0.0286381877,0.0095082902,0.0204712527,0.0352603704
72,0.0496074165,0.0185446772,0.0286881812,0.009505349,0.0204565519,0.0353159382
73,0.0495172132,0.0185943858,0.0287527483,0.009502544,0.0204445917,0.0353743552
74,0.0494535277,0.0186419609,0.0288037268,0.0094974573,0.020435772,0.0354227703
75,0.0493927012,0.0186979228,0.0288720533,0.0094957637,0.0204219473,0.0354738526
76,0.0493456258,0.0187404726,0.0289253955,0.0094948002,0.0204122501,0.0355196931
77,0.0492906123,0.0187813405,0.028972326,0.0094925686,0.0203990163,0.0355710361
78,0.0492377304,0.0188094994,0.0289946912,0.0094874064,0.020383888,0.0356200766
79,0.04918788,0.018837412,0.0290384487,0.0094820747,0.0203752764,0.0356629571
80,0.0491471391,0.0188653189,0.0290650728,0.0094814045,0.0203620336,0.0357092409
81,0.0491032273,0.0188856929,0.0290691659,0.0094772961,0.0203566746,0.0357520927
82,0.0490632776,0.0188930492,0.0290910225,0.0094743233,0.0203432303,0.0357945417
83,0.0490271746,0.0189073084,0.0291080356,0.0094712438,0.0203358013,0.0358411557
84,0.0489909601,0.0189041099,0.0291019861,0.0094325,0.0203234082,0.0358732047
85,0.0489477751,0.0189068092,0.0290998199,0.0094289739,0.0203099626,0.0359112355
86,0.0489055333,0.018907473,0.0290970153,0.0094318342,0.0202980543,0.0359453918
87,0.0488577327,0.0189100439,0.0291038989,0.0094325603,0.020292375,0.0359762317
88,0.048820484,0.0189055295,0.0290931781,0.0094293169,0.020280394,0.0360134111
89,0.048779848,0.0189061309,0.0290829331,0.0094299601,0.020270657,0.0360344347
90,0.0487379569,0.0188981956,0.029088873,0.0094281925,0.0202605843,0.0360613893
91,0.0487043868,0.0188951564,0.0290593538,0.0094247775,0.0202529674,0.036082169
92,0.048656,0.0188963831,0.0290578538,0.0094224796,0.020244547,0.0361048207
93,0.0486279696,0.0188925541,0.0290663403,0.0094273363,0.0202357775,0.036133123
94,0.0485947374,0.0188858668,0.0290682369,0.0094251729,0.0202340272,0.0361484777
95,0.0485712534,0.0188850964,0.0290396752,0.0094230394,0.0202268116,0.036165485
96,0.0485572913,0.0188864393,0.029036137,0.0094196528,0.0202217609,0.0361889148
97,0.0485298639,0.0188893154,0.0290374191,0.0094180775,0.0202182722,0.0362090892
98,0.0485029403,0.0188813933,0.0290399932,0.009421321,0.0202079807,0.0362247069
99,0.0484667102,0.0188779369,0.0290200838,0.0094131099,0.0201984549,0.036218147
100,0.0484161293,0.0188647337,0.0290173647,0.009408533,0.0201872401,0.0362049926
101,0.0483049481,0.0188609402,0.029020195,0.009406189,0.0201824369,0.0362059021
102,0.0481300876,0.0188581663,0.0290120164,0.0093795699,0.0201740915,0.0361963367
103,0.0479307574,0.0188609695,0.0290130973,0.0093397656,0.0201681406,0.0361711445
104,0.0477250317,0.01885704,0.0290071439,0.0092922799,0.020161544,0.0361360001
105,0.0474730777,0.0188253748,0.0289765105,0.0092538622,0.0201379482,0.0360961949
106,0.0472261477,0.0187633459,0.0289230208,0.0092294732,0.020108027,0.0360551708
107,0.0470649738,0.0186854297,0.028821447,0.0091945132,0.0200689032,0.0360153303
108,0.0469352436,0.0185873054,0.0286907717,0.0091561654,0.0200106617,0.0359831293
109,0.046814094,0.0185008085,0.0285974235,0.0091127703,0.0199682715,0.0359569827
110,0.0466494815,0.0184307858,0.0285030103,0.0090799768,0.0199258383,0.0359213486
111,0.0464633872,0.0183875518,0.0284345625,0.0090629212,0.0198872666,0.0358880442
112,0.0463165033,0.0183630226,0.0283766005,0.0090344927,0.0198307692,0.0358242562
113,0.0461681816,0.0183478055,0.0282973804,0.0090070567,0.0197748714,0.0357635024
114,0.0460119341,0.0183299084,0.0282573723,0.0089913238,0.019730045,0.035698156
115,0.0458748363,0.0183256508,0.0281969814,0.0089698718,0.0196944402,0.0356298209
116,0.0457586791,0.0183048141,0.0281435676,0.0089463464,0.0196620879,0.0355567529
117,0.0456591006,0.0182988095,0.0280911269,0.0089424109,0.0196450027,0.0354898596
118,0.0455717913,0.0182800001,0.0280305255,0.008949108,0.0196262015,0.0354210394
119,0.0455040834,0.0182782678,0.0279788616,0.008939213,0.0196179692,0.0353537171
120,0.0454485078,0.0182690544,0.0279385462,0.0089257424,0.0196059052,0.0352935354
121,0.0454242452,0.0182617831,0.0279100643,0.0089054374,0.0195865874,0.0352164119
122,0.0453981133,0.0182522798,0.0278451417,0.0088828097,0.0195628726,0.0351687365
123,0.0453744625,0.0182377539,0.0277877362,0.0088651618,0.0195331018,0.0351171662
124,0.0453475344,0.0182201086,0.0277646756,0.0088575954,0.0195095517,0.0350706327
125,0.0453088021,0.0182176245,0.0277306936,0.0088592798,0.0194925072,0.0350207002
126,0.0452644581,0.0182121962,0.0276984208,0.0088511933,0.0194775545,0.0349593074
127,0.0452288966,0.0182067964,0.027676304,0.0088450026,0.0194600238,0.0349135488
128,0.0451924605,0.0182078889,0.027647779,0.008836453,0.0194402089,0.0348590761
129,0.0451398102,0.0182136888,0.0276307125,0.0088210133,0.0194238535,0.0348088618
130,0.0450802134,0.0182123062,0.0276129586,0.0088177388,0.0194052343,0.0347561878
131,0.0450432089,0.0182095061,0.0275895877,0.008803524,0.0193971807,0.0346834618
132,0.0450164213,0.0182135166,0.0275709401,0.0087875718,0.0193864824,0.0346238544
133,0.0449755562,0.0182067184,0.0275509497,0.0087660778,0.0193827965,0.0345651051
134,0.0449414045,0.018212325,0.0275230126,0.0087482971,0.0193677111,0.0345078549
135,0.0449072398,0.0182013426,0.0274980819,0.0087341107,0.0193643179,0.0344421188
136,0.0448977413,0.0181958652,0.0274846496,0.0087247999,0.0193494466,0.0343888084
137,0.0448799266,0.0181881954,0.0274745362,0.0087136018,0.0193389443,0.0343358694
138,0.0448590661,0.0181903966,0.0274300707,0.0087032643,0.0193277079,0.03428194
139,0.0448467262,0.0181901199,0.0274267102,0.0087003657,0.0193124591,0.0342354034
140,0.0448247126,0.0181854276,0.0274043894,0.008704554,0.0192861823,0.0341746455
141,0.0447959012,0.0181900242,0.0274185102,0.0086973247,0.0192571555,0.0341303832
142,0.0447710482,0.0182020476,0.0273880993,0.0086851275,0.0192327558,0.0340918473
143,0.0447475649,0.0182077697,0.0273766232,0.0086800647,0.0192156808,0.0340572183
144,0.044707209,0.0182190115,0.0273607712,0.0086823921,0.0192008367,0.0340166437
145,0.0446712955,0.0182231262,0.0273398838,0.0086752727,0.0191859855,0.0339819766
146,0.0446360037,0.0182291391,0.0273426415,0.0086704749,0.0191718883,0.0339475976
147,0.0446064969,0.0182424807,0.0273236659,0.0086639289,0.0191560085,0.0339269869
148,0.0445965293,0.0182461786,0.0273165793,0.0086526842,0.0191471278,0.0339060911
149,0.0445896535,0.0182507762,0.0272979827,0.0086524167,0.0191305176,0.0338915413
150,0.0445895553,0.018252632,0.0272734062,0.0086541885,0.019123001,0.0338922014
